N=100, Input=int, Layers=0 | Avg Train Loss: 7.6024 | Accuracy: 0.0000
N=100, Input=int, Layers=1 | Avg Train Loss: 2.3634 | Accuracy: 0.0000
N=100, Input=int, Layers=2 | Avg Train Loss: 2.3146 | Accuracy: 0.1500
N=100, Input=binary, Layers=0 | Avg Train Loss: 2.3110 | Accuracy: 0.0000
N=100, Input=binary, Layers=1 | Avg Train Loss: 3.0099 | Accuracy: 0.0000
N=100, Input=binary, Layers=2 | Avg Train Loss: 2.5043 | Accuracy: 0.0000
N=100, Input=modular, Layers=0 | Avg Train Loss: 1.6397 | Accuracy: 0.2000
N=100, Input=modular, Layers=1 | Avg Train Loss: 1.3662 | Accuracy: 0.3500
N=100, Input=modular, Layers=2 | Avg Train Loss: 1.7907 | Accuracy: 0.3000
N=1000, Input=int, Layers=0 | Avg Train Loss: 6.3477 | Accuracy: 0.0000
N=1000, Input=int, Layers=1 | Avg Train Loss: 2.7183 | Accuracy: 0.3150
N=1000, Input=int, Layers=2 | Avg Train Loss: 1.1815 | Accuracy: 0.5100
N=1000, Input=binary, Layers=0 | Avg Train Loss: 4.2945 | Accuracy: 0.0500
N=1000, Input=binary, Layers=1 | Avg Train Loss: 2.5303 | Accuracy: 0.3350
N=1000, Input=binary, Layers=2 | Avg Train Loss: 1.4134 | Accuracy: 0.4900
N=1000, Input=modular, Layers=0 | Avg Train Loss: 6.0727 | Accuracy: 0.0650
N=1000, Input=modular, Layers=1 | Avg Train Loss: 1.3556 | Accuracy: 0.3700
N=1000, Input=modular, Layers=2 | Avg Train Loss: 1.2857 | Accuracy: 0.4600
N=10000, Input=int, Layers=0 | Avg Train Loss: 5.6445 | Accuracy: 0.0730
N=10000, Input=int, Layers=1 | Avg Train Loss: 0.9549 | Accuracy: 0.4045
N=10000, Input=int, Layers=2 | Avg Train Loss: 0.8098 | Accuracy: 0.4170
N=10000, Input=binary, Layers=0 | Avg Train Loss: 2.7018 | Accuracy: 0.3560
N=10000, Input=binary, Layers=1 | Avg Train Loss: 0.8500 | Accuracy: 0.5105
N=10000, Input=binary, Layers=2 | Avg Train Loss: 0.7160 | Accuracy: 0.5125
N=10000, Input=modular, Layers=0 | Avg Train Loss: 2.6940 | Accuracy: 0.3080
N=10000, Input=modular, Layers=1 | Avg Train Loss: 0.8381 | Accuracy: 0.6405
N=10000, Input=modular, Layers=2 | Avg Train Loss: 0.4654 | Accuracy: 0.6935
